"","Series Category","Season Frequency","Model Fitted","Series Used","Model MASE","Forecast MASE","Shapiro-Wilks","Ljung-Box","AIC","AICc","BIC","Non-Normal Std Residuals","Correlated Std Residuals"
"117","MICRO       ",4,"ETS(M,Md,N)","Seasonal Difference",0.567185101018842,0.185910457855778,0.623130291418394,0.12444771587102,618.112569001718,620.822246421073,627.938085960076,0,0
"118","INDUSTRY    ",4,"ETS(M,Md,M)","Box-Cox",0.557134950424796,0.094988905780904,0.117250283111351,0.366678478409759,-584.69465466781,-579.912045972157,-564.264141989464,0,0
"119","INDUSTRY    ",4,"ETS(M,Md,M)","Box-Cox",0.421958954303287,0.0550067345681953,0.339330057015464,0.787791367010086,-193.317866587994,-188.535257892342,-172.887353909649,0,0
"120","INDUSTRY    ",4,"Holt-Winters' multiplicative method","Box-Cox",0.26519649500701,0.304246754980945,0.231772678978757,0.390885143313902,722.993786667856,726.151681404698,742.836020242374,0,0
"121","INDUSTRY    ",4,"ETS(M,N,M)","Original",0.331421392666972,0.909998794112854,1.64647069962236e-13,0.936752142701216,1149.35387970944,1151.25218479418,1164.78672804517,1,0
"122","INDUSTRY    ",4,"ETS(M,N,A)","Seasonal Difference",0.545915165700526,1.92146327260033,0.148223463250695,0.487421617774219,1022.658220796,1024.69458443236,1037.66016388074,0,0
"123","INDUSTRY    ",4,"ETS(M,Ad,A)","Original",0.302300045463423,1.94012978380197,0.13248011597404,0.592317832896081,1013.56548344781,1017.49405487638,1035.61240964172,0,0
"124","INDUSTRY    ",4,"ETS(M,A,A)","Box-Cox",0.243764196598438,0.719621833254872,0.475066648744903,0.408216115042352,655.623150729197,658.781045466039,675.465384303716,0,0
"125","INDUSTRY    ",4,"ETS(M,Ad,A)","Box-Cox",0.252149569447846,2.3034186632883,8.69248230959554e-05,0.606916338456262,620.626474099722,624.555045528294,642.673400293632,1,0
"126","INDUSTRY    ",4,"ETS(M,Ad,M)","Original",0.552486841374935,0.472689797868048,0.717744958491932,0.335524166575493,518.6321546474,528.6321546474,533.597230262064,0,0
"127","INDUSTRY    ",4,"Damped Holt-Winters' multiplicative method","Original",0.522820671357646,0.651834584692077,0.412094502538536,0.963548603105263,527.406668588765,537.406668588765,542.37174420343,0,0
